energy_delta,context_type,guild_id
1148686,GuildMissionRewardContext,90166
1018116,GuildMissionRewardContext,81283
907440,GuildMissionRewardContext,79262
889109,GuildMissionRewardContext,84667
858954,GuildMissionRewardContext,77241
852911,GuildMissionRewardContext,93785
837217,CompleteGuildRaidMatchContext,84667
837014,CompleteGuildRaidMatchContext,74092
814307,GuildMissionRewardContext,73669
775942,GuildMissionRewardContext,71836
769786,GuildMissionRewardContext,74092
734658,GuildMissionRewardContext,70191
722720,CompleteGuildRaidMatchContext,81283
720881,GuildMissionRewardContext,77147
664549,CompleteGuildRaidMatchContext,90166
658469,GuildMissionRewardContext,52989
649910,GuildMissionRewardContext,86312
617230,GuildMissionRewardContext,58817
592877,GuildMissionRewardContext,73998
586771,CompleteGuildRaidMatchContext,71836
580578,GuildMissionRewardContext,79027
580310,GuildMissionRewardContext,57031
573638,CompleteGuildRaidMatchContext,73669
572299,CompleteGuildRaidMatchContext,77241
568265,GuildMissionRewardContext,56843
538647,GuildMissionRewardContext,63799
535930,CompleteGuildRaidMatchContext,86312
534044,GuildMissionRewardContext,61872
531914,GuildMissionRewardContext,82975
530382,GuildMissionRewardContext,52942
526464,GuildMissionRewardContext,59005
521542,CompleteGuildRaidMatchContext,73998
515278,GuildMissionRewardContext,74186
499439,GuildMissionRewardContext,66196
496513,CompleteGuildRaidMatchContext,93785
496437,GuildMissionRewardContext,63470
494600,GuildMissionRewardContext,67324
489947,CompleteGuildRaidMatchContext,77147
482145,CompleteGuildRaidMatchContext,70191
425910,GuildMissionRewardContext,69345
423483,GuildMissionRewardContext,72917
408344,GuildMissionRewardContext,51720
399710,GuildMissionRewardContext,90730
395700,GuildMissionRewardContext,61120
368064,CompleteGuildRaidMatchContext,79262
358500,GuildMissionRewardContext,88333
345160,GuildMissionRewardContext,57266
344590,GuildMissionRewardContext,91670
340439,CompleteGuildRaidMatchContext,58817
334600,GuildMissionRewardContext,55809
330360,GuildMissionRewardContext,92328
329660,GuildMissionRewardContext,62342
329120,CompleteGuildRaidMatchContext,52989
324690,GuildMissionRewardContext,59710
323088,CompleteGuildRaidMatchContext,52942
321320,GuildMissionRewardContext,61402
313370,CompleteGuildRaidMatchContext,56843
311286,CompleteGuildRaidMatchContext,63799
307740,CompleteGuildRaidMatchContext,74186
301900,GuildMissionRewardContext,68311
300560,GuildMissionRewardContext,66337
297440,GuildMissionRewardContext,73716
284380,GuildMissionRewardContext,50968
276840,GuildMissionRewardContext,57924
269260,GuildMissionRewardContext,61449
266410,GuildMissionRewardContext,91529
266260,GuildMissionRewardContext,73857
262080,GuildMissionRewardContext,53036
247370,GuildMissionRewardContext,67418
244610,GuildMissionRewardContext,79779
242200,GuildMissionRewardContext,61778
239280,GuildMissionRewardContext,65162
239120,GuildMissionRewardContext,78369
237380,GuildMissionRewardContext,84808
233700,GuildMissionRewardContext,71272
232220,GuildMissionRewardContext,64974
230050,GuildMissionRewardContext,87675
229190,GuildMissionRewardContext,69016
227420,GuildMissionRewardContext,88098
215270,GuildMissionRewardContext,54211
214400,GuildMissionRewardContext,94208
213300,GuildMissionRewardContext,79826
211740,GuildMissionRewardContext,87534
210300,GuildMissionRewardContext,60509
209040,GuildMissionRewardContext,66243
207340,CompleteGuildRaidMatchContext,57031
205898,CompleteGuildRaidMatchContext,79027
203320,CompleteGuildRaidMatchContext,61120
201580,GuildMissionRewardContext,63188
201360,CompleteGuildRaidMatchContext,72917
199520,GuildMissionRewardContext,92422
197420,GuildMissionRewardContext,68593
196300,GuildMissionRewardContext,73951
195200,GuildMissionRewardContext,88521
191100,GuildMissionRewardContext,61355
190420,GuildMissionRewardContext,59475
189810,GuildMissionRewardContext,91952
185300,GuildMissionRewardContext,74656
183700,GuildMissionRewardContext,71131
180000,GuildMissionRewardContext,78463
179540,GuildMissionRewardContext,91764
176180,GuildMissionRewardContext,73528
172880,GuildMissionRewardContext,53130
172680,GuildMissionRewardContext,83163
171800,GuildMissionRewardContext,56373
170690,CompleteGuildRaidMatchContext,82975
169920,GuildMissionRewardContext,88897
168400,CompleteGuildRaidMatchContext,61872
168180,GuildMissionRewardContext,79450
165280,GuildMissionRewardContext,74891
162480,GuildMissionRewardContext,62483
159280,GuildMissionRewardContext,78839
157900,GuildMissionRewardContext,61543
150840,GuildMissionRewardContext,88944
150760,GuildMissionRewardContext,52143
150160,GuildMissionRewardContext,71319
149750,GuildMissionRewardContext,71084
149700,GuildMissionRewardContext,64692
143820,GuildMissionRewardContext,60979
141880,GuildMissionRewardContext,79074
141040,GuildMissionRewardContext,79168
140800,GuildMissionRewardContext,88850
138340,GuildMissionRewardContext,65397
134620,GuildMissionRewardContext,75878
134600,GuildMissionRewardContext,50592
134140,GuildMissionRewardContext,53459
132780,GuildMissionRewardContext,56749
131760,GuildMissionRewardContext,52049
131120,GuildMissionRewardContext,52519
130960,GuildMissionRewardContext,60180
130710,GuildMissionRewardContext,54963
127780,GuildMissionRewardContext,71601
126940,GuildMissionRewardContext,77100
126180,GuildMissionRewardContext,52848
125140,GuildMissionRewardContext,60227
124660,GuildMissionRewardContext,56044
124200,CompleteGuildRaidMatchContext,69345
122440,GuildMissionRewardContext,74515
122080,GuildMissionRewardContext,84197
121760,GuildMissionRewardContext,62201
120860,GuildMissionRewardContext,52895
120860,GuildMissionRewardContext,50686
120220,GuildMissionRewardContext,75079
