datetime,creator_character_id,guild_id,n_added_characters,n_removed_characters,n_talents,level,n_missions_completed,n_times_flag_turned_on,mean_place,mean_rating,n_seasons
2022-12-12 23:13:42,15092203,78698,1,1.0,,,,,,,
2022-12-12 22:29:09,15961764,78604,2,2.0,,,,,,,
2022-12-12 21:01:53,16187808,78510,27,19.0,9.0,2.0,171.0,,,,
2022-12-12 00:16:52,21618959,77899,42,35.0,12.0,3.0,171.0,,,,
2022-12-12 22:13:50,23341705,78557,6,6.0,4.0,2.0,156.0,,,,
2022-12-12 00:26:46,23748506,77946,4,3.0,4.0,2.0,169.0,,,,
2022-12-12 19:43:20,23909299,78369,94,83.0,24.0,4.0,224.0,,,,
2022-12-12 00:07:19,24425304,77805,27,15.0,5.0,2.0,170.0,,,,
2022-12-12 20:06:29,25081103,78416,1,1.0,,,2.0,,,,
2022-12-12 15:29:23,25567139,78228,11,11.0,,,8.0,,,,
2022-12-12 20:28:14,25629676,78463,53,46.0,25.0,4.0,226.0,3.0,20.0,478.0,1.0
2022-12-12 22:31:00,25652331,78651,1,,,,86.0,,,,
2022-12-12 03:36:38,25797024,78040,82,70.0,20.0,3.0,168.0,1.0,15.0,458.0,1.0
2022-12-12 17:53:08,26186023,78275,24,17.0,10.0,2.0,170.0,,,,
2022-12-12 18:43:40,26232897,78322,85,76.0,16.0,3.0,231.0,2.0,10.5,485.5,2.0
2022-12-12 04:28:27,26349093,78134,8,,1.0,,169.0,,,,
2022-12-12 00:15:27,26359328,77852,89,79.0,11.0,3.0,171.0,,,,
2022-12-12 04:35:03,26467428,78181,41,35.0,9.0,3.0,169.0,,,,
2022-12-12 01:23:31,26490083,77993,13,13.0,,,,,,,
2022-12-12 03:47:33,26512899,78087,40,33.0,11.0,3.0,168.0,,,,
2022-12-12 23:23:43,26573412,78745,10,1.0,1.0,,170.0,,,,
2022-11-05 02:19:39,13793922,52472,2,,,,86.0,,,,
2022-11-05 15:09:11,19718009,52613,130,119.0,22.0,4.0,164.0,,,,
2022-11-05 20:54:50,20013628,52660,25,19.0,9.0,2.0,167.0,,,,
2022-11-05 05:31:13,21263862,52519,191,178.0,26.0,4.0,174.0,8.0,16.25,449.5,4.0
